Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,0.000035,0.000283,0.000031,0.000275,0.000275,87354
2018-01-01,0.000276,0.002519,0.000129,0.000395,0.000395,2183191
2018-02-01,0.000305,0.000405,0.000103,0.000261,0.000261,53130
2018-03-01,0.000261,0.000326,0.000079,0.000145,0.000145,22179
2018-04-01,0.000145,0.000244,0.000079,0.000092,0.000092,10996
2018-05-01,0.000093,0.000195,0.000071,0.000075,0.000075,5221
2018-06-01,0.000075,0.000192,0.000054,0.000062,0.000062,5179
2018-07-01,0.000062,0.000169,0.000059,0.000077,0.000077,18292
2018-08-01,0.000078,0.000140,0.000047,0.000140,0.000140,4571
2018-09-01,0.000140,0.000192,0.000062,0.000066,0.000066,16175
2018-10-01,0.000066,0.000073,0.000017,0.000026,0.000026,3737
2018-11-01,0.000026,0.000064,0.000021,0.000023,0.000023,123
2018-12-01,0.000023,0.000043,0.000021,0.000038,0.000038,1238
2019-01-01,0.000038,0.000041,0.000021,0.000022,0.000022,85
2019-02-01,0.000022,0.000035,0.000018,0.000021,0.000021,54
2019-03-01,0.000021,0.000040,0.000020,0.000022,0.000022,102
2019-04-01,0.000022,0.000047,0.000022,0.000025,0.000025,383
2019-05-01,0.000025,0.000079,0.000025,0.000030,0.000030,290
2019-06-01,0.000030,0.000030,0.000019,0.000019,0.000019,203
2019-07-01,0.000019,0.000026,0.000017,0.000018,0.000018,105
2019-08-01,0.000018,0.000018,0.000008,0.000008,0.000008,110
2019-09-01,0.000008,0.000014,0.000007,0.000008,0.000008,50
2019-10-01,0.000008,0.000081,0.000004,0.000009,0.000009,109
2019-11-01,0.000009,0.000091,0.000008,0.000072,0.000072,44
2019-12-01,0.000072,0.000074,0.000006,0.000006,0.000006,14
2020-01-01,0.000006,0.000006,0.000005,0.000005,0.000005,19
2020-02-01,0.000005,0.000009,0.000005,0.000006,0.000006,22
2020-03-01,0.000006,0.000006,0.000004,0.000004,0.000004,9
2020-04-01,0.000004,0.000004,0.000004,0.000004,0.000004,5
2020-05-01,0.000004,0.000006,0.000004,0.000006,0.000006,37
2020-06-01,0.000006,0.000006,0.000004,0.000004,0.000004,5
2020-07-01,0.000004,0.000009,0.000004,0.000004,0.000004,24
2020-08-01,0.000004,0.000012,0.000004,0.000005,0.000005,39
2020-09-01,0.000005,0.000109,0.000005,0.000108,0.000108,4
2020-10-01,0.000108,0.000140,0.000104,0.000138,0.000138,0
2020-11-01,0.000138,0.000197,0.000132,0.000196,0.000196,0
2020-12-01,0.000196,0.000292,0.000176,0.000290,0.000290,0
2021-01-01,0.000290,0.000419,0.000005,0.000173,0.000173,0
2021-02-01,0.000173,0.000492,0.000011,0.000451,0.000451,0
2021-03-01,0.000451,0.000519,0.000023,0.000320,0.000320,0
2021-04-01,0.000320,0.000607,0.000033,0.000169,0.000169,1
2021-05-01,0.000169,0.000350,0.000120,0.000121,0.000121,0
2021-06-01,0.000121,0.000405,0.000068,0.000154,0.000154,2
2021-07-01,0.000154,0.000340,0.000068,0.000089,0.000089,0
2021-08-01,0.000089,0.000480,0.000050,0.000087,0.000087,0
2021-09-01,0.000087,0.000420,0.000042,0.000246,0.000246,0
2021-10-01,0.000246,0.000669,0.000056,0.000613,0.000613,0
2021-11-01,0.000613,0.000688,0.000536,0.000570,0.000570,2
2021-12-01,0.000569,0.000639,0.000429,0.000463,0.000463,1
2022-01-01,0.000463,0.000479,0.000332,0.000385,0.000385,0
2022-02-01,0.000385,0.000457,0.000345,0.000432,0.000432,0
2022-03-01,0.000432,0.000481,0.000373,0.000455,0.000455,0
2022-04-01,0.000456,0.000473,0.000377,0.000377,0.000377,0
2022-05-01,0.000377,0.000399,0.000264,0.000318,0.000318,0
2022-06-01,0.000318,0.000320,0.000177,0.000198,0.000198,0
2022-07-01,0.000198,0.000246,0.000190,0.000233,0.000233,0
2022-08-01,0.000233,0.000251,0.000196,0.000200,0.000200,0
2022-09-01,0.000201,0.000227,0.000183,0.000194,0.000194,0
2022-10-01,0.000194,0.000210,0.000183,0.000205,0.000205,0
2022-11-01,0.000205,0.000214,0.000156,0.000172,0.000172,0
2022-12-01,0.000172,0.000183,0.000164,0.000165,0.000165,0
2023-01-01,0.000165,0.000239,0.000165,0.000231,0.000231,0
2023-02-01,0.000231,0.000251,0.000215,0.000231,0.000231,67
2023-03-01,0.000232,0.000291,0.000196,0.000285,0.000285,0
2023-04-01,0.000285,0.000310,0.000271,0.000293,0.000293,0
2023-04-30,0.000292,0.000299,0.000291,0.000297,0.000297,66
