Fecha;TRM
1998-01;1323.16
1997-12;1296.70
1997-11;1294.56
1997-10;1262.89
1997-09;1222.49
1997-08;1132.70
1997-07;1102.40
1997-06;1082.37
1997-05;1075.18
1997-04;1060.65
1997-03;1062.16
1997-02;1074.24
1997-01;1027.06
1996-12;1000.79
1996-11;998.18
1996-10;1015.78
1996-09;1040.84
1996-08;1044.84
1996-07;1064.10
1996-06;1071.96
1996-05;1066.24
1996-04;1050.93
1996-03;1044.98
1996-02;1029.64
1996-01;1011.19
1995-12;988.15
1995-11;1000.58
1995-10;984.96
1995-09;964.17
1995-08;935.10
1995-07;893.22
1995-06;874.86
1995-05;876.95
1995-04;873.39
1995-03;865.83
1995-02;850.90
1995-01;846.63
1994-12;829.37
1994-11;830.03
1994-10;839.32
1994-09;830.06
1994-08;814.82
1994-07;819.06
1994-06;830.94
1994-05;841.43
1994-04;829.87
1994-03;819.76
1994-02;817.67
1994-01;816.15
1993-12;803.56
1993-11;814.08
1993-10;814.45
1993-09;809.66
1993-08;804.61
1993-07;795.08
1993-06;784.24
1993-05;779.71
1993-04;771.79
1993-03;764.38
1993-02;749.08
1993-01;745.52
1992-12;733.42
1992-11;722.43
1992-10;707.65
1992-09;697.11
1992-08;693.72
1992-07;704.50
1992-06;675.79
1992-05;659.81
1992-04;649.16
1992-03;640.33
1992-02;635.53
1992-01;645.18
1991-12;630.38
1991-11;687.59
